MSE: 7.93091425006411, RMSE: 2.816187893245781, MAE: 1.7840102921111107
MSE: 6.985020420374923, RMSE: 2.642918920507196, MAE: 1.6616621586916658
MSE: 7.430763188010799, RMSE: 2.7259426237561932, MAE: 1.671707549342857
MSE: 7.025967976465937, RMSE: 2.6506542544183196, MAE: 1.7019272821285207
MSE: 7.877397888294098, RMSE: 2.806670249297929, MAE: 1.622774783711112
MSE: 6.518119142696578, RMSE: 2.5530607401110883, MAE: 1.6073828103400005
MSE: 6.8930330512906695, RMSE: 2.625458636370162, MAE: 1.690350658440069
MSE: 5.229707850568071, RMSE: 2.2868554503002745, MAE: 1.5310561903925919
MSE: 7.446316886922256, RMSE: 2.7287940352694733, MAE: 1.6740643175370051
MSE: 8.680572749562256, RMSE: 2.946281172862199, MAE: 1.692945710486233
MSE: 7.459226259729886, RMSE: 2.7311584098565, MAE: 1.7604504865133372
MSE: 10.070726801215832, RMSE: 3.1734408457092487, MAE: 1.938879345635556
MSE: 6.8948288772010065, RMSE: 2.625800616421781, MAE: 1.6074145192857137
MSE: 8.11360993990725, RMSE: 2.8484399133398, MAE: 1.795706318937671
MSE: 7.665929132083887, RMSE: 2.7687414346745864, MAE: 1.7651704058076232
MSE: 7.338791532298269, RMSE: 2.70902040086417, MAE: 1.5806331496199992
MSE: 6.201701220752649, RMSE: 2.490321509514916, MAE: 1.589668699048519
MSE: 6.9792431567076445, RMSE: 2.6418257241361784, MAE: 1.7066598264288915
MSE: 7.8718392803043855, RMSE: 2.8056798249808166, MAE: 1.8201578765296336
MSE: 5.10465337612989, RMSE: 2.2593479980140043, MAE: 1.4993768885259253
MSE: 7.841660113315993, RMSE: 2.800296433114893, MAE: 1.7300323337555548
MSE: 9.646328735973803, RMSE: 3.1058539463364667, MAE: 1.8264995754666686
MSE: 9.624122033199658, RMSE: 3.102276911108945, MAE: 1.8957502499148162
MSE: 7.24100164512126, RMSE: 2.690910932216312, MAE: 1.7415107618866685
