test_size,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,MSE,RMSE,MAE
0.3,10,5,5,4,22.383691001759427,4.731140560346884,3.156009073979386
0.3,10,5,5,4,22.81879125555914,4.7769018469672515,3.0740944640210714
0.3,10,5,5,4,24.724139830753085,4.9723374614715246,3.2199801462538633
0.3,10,5,5,4,27.559484744011602,5.249712824908769,3.093172894644941
0.3,10,5,5,4,18.934467064012107,4.351375307188763,2.9420806438091436
0.3,10,5,5,4,24.344129250298185,4.933977021662969,3.1750249758141265
0.3,10,5,5,4,21.603912123779423,4.648000873900458,3.079162808000197
0.3,10,5,5,4,20.48544282536042,4.526084712570062,2.8933999067909437
0.3,10,5,5,4,19.5421336881297,4.420648559671951,2.9224041560125493
0.3,10,5,5,10,16.11729329966976,4.014634889958209,2.799715422551505
0.3,10,5,5,10,22.163901276529394,4.707855273532672,3.11977720045956
0.3,10,5,5,10,18.691254205083993,4.323338317213215,2.8923940344124013
0.3,10,5,5,10,23.89017674970938,4.8877578448312455,3.156996450875822
0.3,10,5,5,10,21.609568427885254,4.648609300412894,3.176519321795729
0.3,10,5,5,10,22.129814778506688,4.704233707896185,3.0802889980122754
0.3,10,5,5,10,22.838326809941808,4.778946202871697,3.079809828996843
0.3,10,5,5,10,19.75340030411708,4.444479756295114,3.034411074934537
0.3,10,5,5,20,22.079190389399606,4.698849900709705,3.1126918044776435
0.3,10,5,5,20,19.597014359627412,4.426851517684709,3.1119333169321246
0.3,10,5,5,20,21.405011153610396,4.626554998442188,3.0685382403715544
0.3,10,5,5,20,24.738861360133118,4.973817584123197,3.1705945500340653
0.3,10,5,5,20,21.13533707137547,4.597318465298599,2.932109105928886
0.3,10,5,5,20,30.30010228743332,5.504552868983394,3.5407352280491544
0.3,10,5,5,20,23.0948046780273,4.805705429801883,3.2352685278807947
0.3,10,5,5,5,23.062228873334558,4.80231494941081,3.1530960476260224
0.3,10,5,5,5,22.448842415882453,4.738020938734067,3.111286909554571
0.3,10,5,5,5,24.985148426151152,4.998514621980329,3.1867060759662396
0.3,10,5,5,50,18.56496768348261,4.308708354423935,2.87656414171325
0.3,10,5,5,50,21.777361914295312,4.66662210965226,3.0644869705439337
0.3,10,5,5,50,21.185968522870528,4.602821800034249,3.045675634530755
0.3,10,5,5,50,32.01060850801996,5.657791840287159,3.5991103857755387
0.3,10,5,5,50,20.913106435352812,4.573085001982012,3.081433627720459
0.3,10,5,5,1,70.9135991513665,8.421021265343445,6.166271806792117
0.3,10,5,5,1,51.563571229758416,7.180777898651261,5.148470221536289
0.3,10,5,5,1,59.33270983121513,7.702772866391371,5.5771295314135285
0.3,10,5,5,1,42.76993113962644,6.539872410041839,4.659519200687992
0.3,10,5,5,2,38.99501497341226,6.2445988640914525,4.0296814137655925
0.3,10,5,5,2,38.065514498657684,6.16972564208958,4.266283341949122
0.3,10,5,5,2,45.79105125295246,6.766908544745706,4.512966466845134
0.3,10,5,5,2,40.808476208111756,6.3881512355384755,4.209192931004523
0.3,10,5,5,2,41.53963339843345,6.445124777568969,4.453939496109188
0.3,10,5,5,3,20.373172581790953,4.513665094110434,3.040280814049139
0.3,10,5,5,3,20.18332991732479,4.492586105721824,2.9716700648457754
0.3,10,5,5,3,15.733045798659072,3.966490362859725,2.7242938396517467
0.3,10,5,5,3,33.95145750764166,5.826787923688459,3.6044341742374115
0.3,10,5,5,3,22.818034249021697,4.776822610168992,3.1523168194705598
0.3,10,5,5,3,22.422013224939956,4.735188826745978,3.0812393399904194
0.3,10,5,5,5,24.11958360856785,4.911169271015595,3.2190613241511143
0.3,10,5,5,5,15.284874755726497,3.9095875429163236,2.65444745670106
0.3,10,5,5,5,21.337339135080416,4.619235773921961,2.9488328537519815
0.3,10,5,5,5,25.794449037960515,5.078823587993632,3.3871378542083037
0.3,10,5,5,5,30.24727253055137,5.4997520426425925,3.242300923540948
0.3,10,5,5,5,22.483285140275427,4.741654261992899,3.0840070240806874
0.3,10,5,5,5,19.24162857622407,4.386528077674195,2.953168772003944
0.3,10,5,5,5,22.095373075780696,4.700571569052076,3.0245610606547286
0.3,10,5,5,4,22.47966242435942,4.741272236895854,3.073052704762907
0.3,10,5,5,4,18.68510750766579,4.322627384781828,2.868703190854609
0.3,10,5,5,4,18.357755679128417,4.2845951593036675,2.8967014730834233
0.3,10,5,5,4,16.378659554188207,4.047055664824517,2.769506078622113
0.3,10,5,5,4,23.328801271214324,4.829989779617999,3.2475999640255058
0.3,10,5,5,4,21.68945611298134,4.65719401710744,2.962656722551318
0.3,10,5,5,4,28.827158914300274,5.369092932172088,3.465303554318731
