 MSE: 20.1545603668441, RMSE: 4.4893830719648, MAE: 3.0482343060141845
 MSE: 16.952010546870643, RMSE: 4.1172819367722004, MAE: 2.830337017481102
 MSE: 22.669707378438705, RMSE: 4.761271613596383, MAE: 3.036198777280325
 MSE: 18.02725172945222, RMSE: 4.2458511195580355, MAE: 2.8146795694569984
 MSE: 21.01801948872387, RMSE: 4.584541360782326, MAE: 2.8607719876047777
 MSE: 21.826791040885656, RMSE: 4.671915136310339, MAE: 3.065603505966905
 MSE: 17.07834449261237, RMSE: 4.132595370056494, MAE: 2.9252605061757735
 MSE: 15.872478762406029, RMSE: 3.984027957031179, MAE: 2.659508093518199
 MSE: 24.155588512992413, RMSE: 4.914833518339397, MAE: 3.2714591164130464
 MSE: 26.763139368243984, RMSE: 5.173310291123468, MAE: 3.2204949447130504
 MSE: 22.987006107330835, RMSE: 4.794476624964485, MAE: 3.235067040506192
 MSE: 24.319519030828257, RMSE: 4.931482437444978, MAE: 3.1557006803508103
 MSE: 24.39192533771522, RMSE: 4.938818212661326, MAE: 3.2533774901144787
 MSE: 20.17370179489847, RMSE: 4.491514421094345, MAE: 2.803735214341236
 MSE: 24.988120123194285, RMSE: 4.998811871154413, MAE: 3.2423498393944756
 MSE: 26.739289503623787, RMSE: 5.171004689963429, MAE: 3.2887294632157777
 MSE: 23.434058552760128, RMSE: 4.840873738568289, MAE: 3.2131517525850724
 MSE: 18.36817996110553, RMSE: 4.285811470550883, MAE: 2.902244244429318
 MSE: 25.72739903482993, RMSE: 5.072218354411601, MAE: 3.3194207000917104
 MSE: 27.53711809584696, RMSE: 5.247582119018907, MAE: 3.3746191148082687
 MSE: 24.4769970415348, RMSE: 4.947423272930546, MAE: 3.123584837167855
 MSE: 23.0711795442992, RMSE: 4.8032467711225495, MAE: 3.1456502205407735
 MSE: 22.11398786964814, RMSE: 4.702551208615185, MAE: 3.1230303069212924
 MSE: 18.538138305713943, RMSE: 4.305593838916293, MAE: 2.809308925790399
